####,####,read,####,####
 , , ,SSD, , , , , ,HDD, , , 
 , ,RAND, , ,SEQ, , ,RAND, , ,SEQ, 
SIZE,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB
1k,10075,10075,9.8388671875,11266,11266,11.001953125,274,274,0.267578125,8972,8972,8.76171875
2k,9720,19440,18.984375,10326,20652,20.16796875,662,1324,1.29296875,9302,18604,18.16796875
4k,8683,34732,33.91796875,8778,35112,34.2890625,837,3348,3.26953125,8028,32112,31.359375
8k,6509,52072,50.8515625,6835,54680,53.3984375,338,2704,2.640625,5761,46088,45.0078125
16k,4037,64592,63.078125,4002,64032,62.53125,311,4976,4.859375,3207,51312,50.109375
32k,2059,65888,64.34375,2037,65184,63.65625,301,9632,9.40625,1832,58624,57.25
64k,1040,66560,65.0,1019,65216,63.6875,293,18752,18.3125,928,59392,58.0
128k,522,66816,65.25,513,65664,64.125,264,33792,33.0,480,61440,60.0
256k,261,66816,65.25,251,64256,62.75,193,49408,48.25,244,62464,61.0
512k,131,67072,65.5,125,64000,62.5,99,50688,49.5,120,61440,60.0
1M,65,66560,65.0,62,63488,62.0,59,60416,59.0,60,61440,60.0
2M,32,65536,64.0,31,63488,62.0,31,63488,62.0,30,61440,60.0
4M,16,65536,64.0,15,61440,60.0,15,61440,60.0,15,61440,60.0
8M,8,65536,64.0,8,65536,64.0,7,57344,56.0,7,57344,56.0
16M,4,65536,64.0,4,65536,64.0,4,65536,64.0,3,49152,48.0
